Num,Name,City,City2,City3,City4,Bunnum,Roadadd,X,Y
21602,양평빙어축제,경기도,양평군,단월면,덕수리,03월 22일,,127.6855962,37.56006762
21603,조명박물관크리스마스특별전,경기도,양주시,광적면,석우리,633,광적로,126.9676411,37.83620923
21604,청평설빙송어빙어축제,경기도,가평군,청평면,청평리,738,강변로,127.4160524,37.73401566
21605,의왕레솔레파크겨울축제,경기도,의왕시,월암동,,543-3,왕송못동로,126.9511791,37.30813069
21606,청평얼음꽃송어축제,경기도,가평군,청평면,청평리,738,강변로,127.4246005,37.73156189
21607,양주송어축제,경기도,양주시,백석읍,연곡리,Jan-60,연곡로182번길,126.9592067,37.81733683
21608,퍼스트가든별빛축제,경기도,파주시,상지석동,,1021-3,,126.794364,37.7320757
21609,포천산정호수썰매축제,경기도,포천시,영북면,산정리,191-1,산정호수로411번길,127.3236486,38.06851324
21610,안성두메호수빙어축제,경기도,안성시,죽산면,두교리,산63-2,,127.4284421,37.00861857
21611,벽초지수목원빛축제,경기도,파주시,광탄면,창만리,231-1,,126.8759004,37.8003114
21612,안산별빛마을애니멀앤하트빌리지빛축제,경기도,안산시 상록구,부곡동,,215-2,,126.8628899,37.33858306
21613,정동진해맞이축제모래시계회전식,강원특별자치도,강릉시,강동면,정동진리,06월 04일,,129.0383542,37.68681921
21614,경포해넘이해맞이축제,강원특별자치도,강릉시,강문동,,산1,,128.9079292,37.80555067
21615,남이섬겨울축제,강원특별자치도,춘천시,남산면,방하리,198-7,,127.5263268,37.79021581
21616,고니골빛축제,강원특별자치도,원주시,호저면,고산리,87,,127.9155073,37.48001769
21617,청도프로방스크리스마스산타마을빛축제,경상북도,청도군,화양읍,삼신리,893-2,,128.7182597,35.68442114
21618,보성차밭빛축제,전라남도,보성군,보성읍,봉산리,1191-1,녹차로,127.0817558,34.71981688
21619,마노르블랑동백꽃축제,제주특별자치도,서귀포시,안덕면,덕수리,2953,,126.294894,33.25482741
21620,휴애리동백축제,제주특별자치도,서귀포시,남원읍,신례리,15-Jul,,126.6345545,33.30882072
21621,청남대정문매표소,충청북도,청주시 상당구,문의면,신대리,산26-1,청남대길,127.4926095,36.46660938
21622,목재문화체험장,대전광역시,중구,대사동,,190-9,보문산공원로,127.4238863,36.30978351
21623,다자요,제주특별자치도,제주시,영평동,,Feb-70,첨단로,126.5723227,33.45283072
21624,오음산캠프,강원특별자치도,횡성군,공근면,어둔리,171-1,,127.9701413,37.59346923
